Record,Total Beats,TP,FP,FN,Time (s),Sensitivity (%),Predictivity (%),Error Rate (%)
100,2273,2273,0,0,0.06283140182495117,100.0,100.0,0.0
101,1865,1864,4,1,0.06213068962097168,99.94638069705094,99.78586723768737,0.2680965147453083
103,2084,2078,0,6,0.06774425506591797,99.71209213051824,100.0,0.28790786948176583
105,2572,2553,37,19,0.06310200691223145,99.26127527216174,98.57142857142858,2.177293934681182
106,2027,2013,1,14,0.07577323913574219,99.30932412432166,99.95034756703079,0.740009866798224
108,1763,1756,80,7,0.06342101097106934,99.60294951786727,95.64270152505446,4.934770277935337
109,2532,2527,0,5,0.06898713111877441,99.80252764612955,100.0,0.1974723538704581
111,2124,2101,1,23,0.06583404541015625,98.91713747645952,99.95242626070409,1.1299435028248588
112,2539,2539,0,0,0.07025742530822754,100.0,100.0,0.0
113,1795,1795,0,0,0.05993771553039551,100.0,100.0,0.0
114,1879,912,7,967,0.06444501876831055,48.53645556146887,99.23830250272034,51.836083022884516
115,1953,1953,0,0,0.06865501403808594,100.0,100.0,0.0
116,2412,2384,3,28,0.0620577335357666,98.8391376451078,99.87431922915793,1.285240464344942
117,1535,1535,0,0,0.0628962516784668,100.0,100.0,0.0
118,2278,2278,0,0,0.06450343132019043,100.0,100.0,0.0
119,1987,1987,1,0,0.06541967391967773,100.0,99.9496981891348,0.050327126321087066
121,1863,1861,0,2,0.0589907169342041,99.89264626945786,100.0,0.10735373054213634
122,2476,2476,0,0,0.06685876846313477,100.0,100.0,0.0
123,1518,1515,0,3,0.05833721160888672,99.80237154150198,100.0,0.1976284584980237
124,1619,1585,0,34,0.06231236457824707,97.89993823347746,100.0,2.1000617665225447
200,2601,2596,1,5,0.0632925033569336,99.80776624375241,99.96149403157489,0.2306805074971165
201,1963,1893,0,70,0.06031370162963867,96.43402954661234,100.0,3.565970453387672
202,2136,2113,0,23,0.06268787384033203,98.92322097378276,100.0,1.0767790262172285
203,2980,2673,11,307,0.07152891159057617,89.69798657718121,99.59016393442623,10.671140939597315
205,2656,2653,0,3,0.07015752792358398,99.88704819277109,100.0,0.11295180722891565
207,1860,1805,74,55,0.07249760627746582,97.04301075268818,96.06173496540713,6.935483870967742
208,2955,2620,5,335,0.07084226608276367,88.66328257191202,99.80952380952381,11.505922165820643
209,3005,3005,3,0,0.07922172546386719,100.0,99.9002659574468,0.09983361064891848
210,2650,2577,4,73,0.06498074531555176,97.24528301886792,99.84502130956994,2.9056603773584904
212,2748,2748,0,0,0.06967473030090332,100.0,100.0,0.0
213,3251,3244,0,7,0.07481145858764648,99.78468163641956,100.0,0.2153183635804368
214,2262,2255,0,7,0.06292963027954102,99.69053934571176,100.0,0.3094606542882405
215,3363,3359,0,4,0.05992865562438965,99.88105857865001,100.0,0.11894142134998512
217,2208,2175,1,33,0.06820058822631836,98.50543478260869,99.95404411764706,1.5398550724637683
219,2154,2146,0,8,0.05905008316040039,99.62859795728876,100.0,0.3714020427112349
220,2048,2048,0,0,0.07883024215698242,100.0,100.0,0.0
221,2427,2415,0,12,0.06748747825622559,99.50556242274413,100.0,0.4944375772558714
222,2483,2394,0,89,0.06398701667785645,96.41562625855819,100.0,3.584373741441804
223,2605,2590,0,15,0.0650947093963623,99.42418426103646,100.0,0.5758157389635317
228,2053,308,1,1745,0.05874276161193848,15.002435460301996,99.67637540453075,85.04627374573795
230,2256,2256,0,0,0.05844616889953613,100.0,100.0,0.0
231,1571,1571,0,0,0.0641164779663086,100.0,100.0,0.0
232,1780,1779,1,1,0.06641721725463867,99.9438202247191,99.9438202247191,0.11235955056179776
233,3079,3069,0,10,0.06446504592895508,99.67521922702176,100.0,0.3247807729782397
234,2753,2748,0,5,0.07006573677062988,99.81837994914639,100.0,0.18162005085361424
