Record,Total Beats,TP,FP,FN,Time (s),Sensitivity (%),Predictivity (%)
100,2273,2273,0,0,0.07794475555419922,100.0,100.0
101,1865,1864,5,1,0.07871127128601074,99.94638069705094,99.73247726056714
103,2084,2079,0,5,0.07693099975585938,99.76007677543186,100.0
105,2572,2567,43,5,0.08106780052185059,99.80559875583204,98.35249042145594
106,2027,1901,1,126,0.08448576927185059,93.78391711889492,99.94742376445846
108,1763,1711,105,52,0.1460564136505127,97.0504821327283,94.21806167400881
109,2532,2523,0,9,0.14423346519470215,99.64454976303317,100.0
111,2124,2123,1,1,0.15960311889648438,99.95291902071564,99.95291902071564
112,2539,2539,0,0,0.16761136054992676,100.0,100.0
113,1795,1795,0,0,0.17805099487304688,100.0,100.0
114,1879,1877,3,2,0.18097186088562012,99.89356040447046,99.84042553191489
115,1953,1953,0,0,0.16571474075317383,100.0,100.0
116,2412,2385,3,27,0.17231225967407227,98.88059701492537,99.87437185929649
117,1535,1535,0,0,0.15191292762756348,100.0,100.0
118,2278,2278,1,0,0.15139460563659668,100.0,99.95612110574812
119,1987,1986,1,1,0.16179418563842773,99.9496728736789,99.9496728736789
121,1863,1861,1,2,0.16353273391723633,99.89264626945786,99.94629430719655
122,2476,2476,0,0,0.19485998153686523,100.0,100.0
123,1518,1515,0,3,0.17164015769958496,99.80237154150198,100.0
124,1619,1582,0,37,0.177290678024292,97.71463866584311,100.0
200,2601,2595,5,6,0.18651509284973145,99.76931949250289,99.8076923076923
201,1963,1891,0,72,0.1467878818511963,96.33214467651554,100.0
202,2136,2115,0,21,0.1662442684173584,99.01685393258427,100.0
203,2980,2900,28,80,0.1598210334777832,97.31543624161074,99.04371584699454
205,2656,2650,0,6,0.15959882736206055,99.77409638554217,100.0
207,1860,1796,67,64,0.15096354484558105,96.55913978494624,96.40365002683843
208,2955,2010,3,945,0.17822957038879395,68.02030456852792,99.85096870342772
209,3005,3005,1,0,0.14819622039794922,100.0,99.96673320026613
210,2650,2557,5,93,0.14679241180419922,96.49056603773585,99.80483996877439
212,2748,2748,0,0,0.15480637550354004,100.0,100.0
213,3251,3156,0,95,0.141676664352417,97.07782220855121,100.0
214,2262,2250,2,12,0.17192673683166504,99.46949602122017,99.91119005328596
215,3363,3360,1,3,0.19821953773498535,99.9107939339875,99.9702469503124
217,2208,2200,1,8,0.16031336784362793,99.63768115942028,99.95456610631531
219,2154,2129,0,25,0.17363262176513672,98.8393686165274,100.0
220,2048,2048,0,0,0.15801501274108887,100.0,100.0
221,2427,2289,0,138,0.1695096492767334,94.31396786155747,100.0
222,2483,2481,1,2,0.18793010711669922,99.91945227547322,99.9597099113618
223,2605,2574,0,31,0.1826002597808838,98.80998080614204,100.0
228,2053,2038,24,15,0.15383148193359375,99.26936190940087,98.8360814742968
230,2256,2256,0,0,0.1539456844329834,100.0,100.0
231,1571,1571,0,0,0.15203046798706055,100.0,100.0
232,1780,1777,1,3,0.1461775302886963,99.8314606741573,99.9437570303712
233,3079,3059,0,20,0.1410977840423584,99.35043845404353,100.0
234,2753,2748,0,5,0.16721701622009277,99.81837994914639,100.0
